Disease,Description
panic disorder,"An anxiety disorder characterized by recurrent unexpected panic attacks, which are sudden periods of intense fear or discomfort."
vocal cord polyp,"A benign growth on the vocal cords that can cause hoarseness, voice changes, and discomfort."
turner syndrome,"A chromosomal disorder affecting females, where one of the X chromosomes is missing or partially missing, leading to various developmental issues."
cryptorchidism,"A condition in which one or both of the testes fail to descend from the abdomen into the scrotum."
poisoning due to ethylene glycol,"A potentially fatal condition resulting from ingestion of ethylene glycol, commonly found in antifreeze, leading to metabolic acidosis and kidney failure."
atrophic vaginitis,"Thinning, drying, and inflammation of the vaginal walls due to a decrease in estrogen levels, commonly occurring after menopause."
fracture of the hand,"A break in one or more of the bones in the hand, often resulting from trauma or injury."
cellulitis or abscess of mouth,"A bacterial infection causing redness, swelling, and pain in the tissues of the mouth, potentially leading to the formation of an abscess."
eye alignment disorder,"Also known as strabismus, a condition where the eyes do not properly align with each other when looking at an object."
headache after lumbar puncture,"A common complication following a lumbar puncture, characterized by a headache that worsens when standing and improves when lying down."
pyloric stenosis,"A condition in infants causing narrowing of the pylorus, the opening from the stomach to the small intestine, leading to severe vomiting."
salivary gland disorder,"Conditions affecting the salivary glands, such as infections, blockages, or tumors, leading to symptoms like dry mouth, pain, and swelling."
osteochondrosis,"A group of disorders that affect the growth of bones in children and adolescents, leading to joint pain and stiffness."
injury to the knee,"Damage to the structures of the knee, including ligaments, cartilage, or bones, often resulting from trauma or overuse."
metabolic disorder,"A condition that disrupts normal metabolism, the process of converting food to energy on a cellular level."
vaginitis,"Inflammation of the vagina that can result in discharge, itching, and pain, often caused by infection."
sick sinus syndrome,"A collection of heart rhythm disorders where the sinus node doesn't function properly, leading to irregular heartbeats."
tinnitus of unknown cause,"The perception of ringing or buzzing in the ears without an external source, with no identifiable cause."
glaucoma,"A group of eye conditions that damage the optic nerve, often due to high intraocular pressure, which can lead to vision loss."
eating disorder,"Mental health conditions characterized by unhealthy eating habits, such as anorexia nervosa or bulimia nervosa."
transient ischemic attack,"Often called a mini-stroke, it's a temporary period of symptoms similar to those of a stroke, usually lasting a few minutes to hours without causing permanent damage."
pyelonephritis,"A type of urinary tract infection that has reached the kidney, causing inflammation and potentially leading to kidney damage."
rotator cuff injury,"Damage to the rotator cuff muscles or tendons in the shoulder, leading to pain and decreased range of motion."
chronic pain disorder,"A condition where pain persists for longer than 12 weeks despite medication or treatment."
problem during pregnancy,"Any health issues arising during pregnancy that can affect the mother, the baby, or both."
liver cancer,"A type of cancer that originates in the liver cells, with hepatocellular carcinoma being the most common form."
atelectasis,"A complete or partial collapse of a lung or lobe of a lung, resulting in reduced gas exchange."
injury to the hand,"Damage to the structures of the hand, including bones, nerves, tendons, or skin, often resulting from trauma."
choledocholithiasis,"The presence of gallstones in the common bile duct, which can lead to pain, jaundice, and infection."
injury to the hip,"Damage to the hip joint or surrounding tissues, often resulting from falls or direct trauma."
cirrhosis,"A late stage of scarring (fibrosis) of the liver caused by many forms of liver diseases and conditions, such as hepatitis and chronic alcoholism."
thoracic aortic aneurysm,"A bulging or dilation in the wall of the thoracic aorta, which can lead to life-threatening rupture if not treated."
subdural hemorrhage,"Bleeding between the dura mater and the brain, often resulting from head injury."
diabetic retinopathy,"A diabetes complication that affects eyes, caused by damage to the blood vessels of the light-sensitive tissue at the back of the eye (retina)."
fibromyalgia,"A disorder characterized by widespread musculoskeletal pain accompanied by fatigue, sleep, memory, and mood issues."
ischemia of the bowel,"Also known as mesenteric ischemia, a condition where there is reduced blood flow to the intestines, causing pain and potential bowel damage."
fetal alcohol syndrome,"A condition in a child resulting from alcohol exposure during the mother's pregnancy, causing brain damage and growth problems."
peritonitis,"Inflammation of the peritoneum, the tissue lining the inner wall of the abdomen and covering abdominal organs, usually due to infection."
injury to the abdomen,"Damage to the abdominal area, which can affect internal organs, blood vessels, or muscles, often resulting from trauma."
acute pancreatitis,"A sudden inflammation of the pancreas that can be mild or life-threatening but usually subsides."
thrombophlebitis,"Inflammation of a vein due to a blood clot, often occurring in the legs."
asthma,"A condition in which a person's airways become inflamed, narrow, and swell, producing extra mucus, leading to difficulty breathing."
foreign body in the vagina,"The presence of an object in the vaginal canal that shouldn't be there, potentially causing discomfort, discharge, or infection."
restless leg syndrome,"A condition characterized by an uncontrollable urge to move the legs, usually due to an uncomfortable sensation."
emphysema,"A lung condition that causes shortness of breath due to damage to the air sacs (alveoli) in the lungs."
cysticercosis,"A parasitic tissue infection caused by larval cysts of the tapeworm Taenia solium, which can affect the brain, muscles, and other tissues."
induced abortion,"A medical procedure performed to terminate a pregnancy."
teething syndrome,"A term used to describe the symptoms associated with an infant's teeth emerging through the gums, such as irritability and gum discomfort."
infectious gastroenteritis,"Inflammation of the stomach and intestines caused by viral, bacterial, or parasitic infections, leading to symptoms like diarrhea, vomiting, and abdominal pain."
acute sinusitis,"A short-term inflammation of the sinuses, often following a cold, causing congestion, facial pain, and nasal discharge."
"Substance-Related Mental Disorder","A condition involving the misuse of substances such as alcohol or drugs, leading to significant impairment or distress."
"Postpartum Depression","A complex mix of physical, emotional, and behavioral changes that occur in some women after giving birth."
"Coronary Atherosclerosis","A condition characterized by the buildup of plaque in the coronary arteries, reducing blood flow to the heart muscle."
"Spondylitis","Inflammation of the vertebrae, often leading to pain and stiffness in the spine."
"Pituitary Adenoma","A usually benign tumor of the pituitary gland that can affect hormone levels and cause various symptoms."
"Uterine Fibroids","Noncancerous growths of the uterus that often appear during childbearing years."
"Idiopathic Nonmenstrual Bleeding","Abnormal uterine bleeding without a known cause, not associated with the menstrual cycle."
"Chalazion","A slow-growing, painless lump in the eyelid caused by blockage of a meibomian gland."
"Ovarian Torsion","A medical emergency involving the twisting of the ovary, which can cut off its blood supply."
"Retinopathy Due to High Blood Pressure","Damage to the retina caused by high blood pressure, potentially leading to vision problems."
"Vaginal Yeast Infection","A fungal infection causing irritation, discharge, and intense itchiness of the vagina and vulva."
"Mastoiditis","An infection of the mastoid bone behind the ear, often resulting from untreated middle ear infections."
"Lung Contusion","A bruise of the lung tissue caused by trauma, leading to bleeding and swelling."
"Hypertrophic Obstructive Cardiomyopathy (HOCM)","A condition where the heart muscle becomes abnormally thick, obstructing blood flow."
"Ingrown Toenail","A common condition where the corner or side of a toenail grows into the soft flesh, causing pain and swelling."
"Pulmonary Eosinophilia","An increased number of eosinophils in the lungs, often due to allergic reactions or infections."
"Corneal Disorder","Any condition that affects the cornea, leading to visual impairment or discomfort."
"Foreign Body in the Gastrointestinal Tract","The ingestion of objects that may cause obstruction or injury to the digestive system."
"Endophthalmitis","A severe inflammation of the interior of the eye, usually caused by infection."
"Intestinal Malabsorption","A condition in which the small intestine cannot absorb nutrients properly, leading to deficiencies."
"Viral Warts","Skin growths caused by the human papillomavirus (HPV), commonly appearing on hands, feet, or genitals."
"Hyperhidrosis","A condition characterized by excessive sweating beyond what is necessary for temperature regulation."
"Stroke","A medical emergency where blood flow to part of the brain is interrupted, causing brain cells to die."
"Pilonidal Cyst","A cyst that forms near the tailbone, often containing hair and skin debris, which can become infected."
"Crushing Injury","Damage to the body caused by a compressive force, leading to potential fractures, bleeding, and organ damage."
"Normal Pressure Hydrocephalus","A condition characterized by the accumulation of cerebrospinal fluid in the brain's ventricles, causing walking difficulties, dementia, and urinary incontinence."
"Alopecia","The partial or complete loss of hair from areas of the body where it normally grows."
"Hashimoto Thyroiditis","An autoimmune disorder where the immune system attacks the thyroid gland, leading to hypothyroidism."
"Flat Feet","A condition in which the arches of the feet are flattened, causing the entire sole to touch the ground."
"Nonalcoholic Liver Disease (NASH)","A liver condition characterized by fat accumulation and inflammation, not related to alcohol consumption."
